"","Open","Nifty.Vol","Chg","VIXOpen","VIXChg","GSECOpen","GSECChg","FXOpen","FXChg","OilOpen","OilChg","FII_BUY","FII_SELL","DII_BUY","DII_SELL","Nifty_PE","Nifty_Yld","NF.VolumeTrendBEAR","NF.VolumeTrendBULL","NF.VolumeTrendWEAKBEAR","NF.VolumeTrendWEAKBULL"
"1",14583.4,776750,-0.015,22.18,0.0109,5.97,-0.0029,72.965,3e-04,53.1,-0.0162,8326.77,8962.46,4859.95,6150.3,38.86,2.57334019557385,1,0,0,0
"2",14730.95,704650,-0.0037,21.55,0.0292,5.942,0.0024,72.916,7e-04,52.93,-0.0021,9104.25,7489.59,5053.57,6093.05,39.41,2.53742704897234,1,0,0,0
"3",14538.3,623070,0.0085,22.8975,-0.0588,5.942,0.001,73.192,-0.0038,53.13,0.0049,7701.29,5412.24,5084.73,5949.35,39.55,2.52844500632111,0,0,0,1
"4",14371.65,546110,0.0168,24.395,-0.0614,5.963,-0.0035,73.177,1e-04,52,0.0118,6715.91,6458.36,5146.41,5345.71,39.22,2.54971953085161,0,0,0,1
"5",14453.3,762040,-0.0106,24.01,0.016,5.965,-0.0052,73.15,8e-04,52.2,0.0031,7847.77,7197.17,6371.06,6413.57,38.92,2.5693730729702,1,0,0,0
"6",14594.35,789560,-0.0111,23.0275,0.0427,5.959,0.0108,73.089,7e-04,53.8,-0.0226,7240.81,6269.75,4914.07,5856.14,39.34,2.5419420437214,1,0,0,0
"7",14550.05,620200,0.0021,23.2925,-0.0114,5.955,-0.0039,73.135,-0.0012,52.84,0.0125,10175.47,9098.85,5772.8,5960.9,40.03,2.4981264051961,0,0,0,1
"8",14639.8,873960,1e-04,22.8475,0.0195,5.913,0.0027,73.19,-8e-04,53.31,-0.0056,10263.57,8384.51,5777.2,8147.37,39.94,2.50375563345018,0,1,0,0
"9",14473.8,929570,0.0054,22.3825,0.0208,5.937,0.0012,73.494,-0.0032,52.18,0.0184,9354.82,8783.35,5556.61,6891.11,39.94,2.50375563345018,0,1,0,0
"10",14474.05,672880,0.0096,20.64,0.0844,5.946,0.0054,73.45,0.0017,52.58,2e-04,9652.29,6513.39,4496.85,7106.98,39.72,2.51762336354481,0,1,0,0
"11",14258.4,613470,0.0148,20.615,0.0012,5.878,0,73.455,-0.0012,50.93,0.0277,13171.18,7141.35,4792.7,7165.24,39.45,2.53485424588086,0,1,0,0
"12",14253.75,559170,-6e-04,20.995,-0.0181,5.906,-3e-04,73.161,0.0041,50.53,0.004,8481.77,8099.47,4815.72,5805.22,38.88,2.57201646090535,0,0,1,0
"13",14240.95,632320,-0.0038,20.46,0.0261,5.877,0.0075,73.168,0,49.82,0.014,6733.28,7216.92,5686.04,6066.45,38.9,2.5706940874036,1,0,0,0
"14",14075.15,492480,0.0047,20.03,0.0215,5.856,-0.0014,73.08,7e-04,47.38,0.0485,7039.45,6053.15,5092,5582.03,39.05,2.56081946222791,0,1,0,0
"15",14104.35,495000,0.0082,19.56,0.024,5.904,-0.0068,73.106,-7e-04,48.4,-0.0185,5331.17,3487.95,4575.57,5290.78,38.87,2.57267815796244,0,1,0,0
"16",13996.1,258090,0.0026,21.095,-0.0728,5.905,7e-04,73.1,0.0011,48.375,-0.008,1072.54,566.33,2505.67,2436.27,38.55,2.59403372243839,0,0,0,1
"17",13970,452410,0,21.11,-7e-04,5.905,-8e-04,73.195,-0.0012,48.35,0.0025,6855.31,5719.72,4209.73,4467.37,38.45,2.60078023407022,1,0,0,0
"18",13980.9,380680,0.0035,20.79,0.0154,5.933,-0.0047,73.37,-0.0036,48.13,0.0083,5345.63,3521.11,3372.43,3959.86,38.45,2.60078023407022,0,0,0,1
"19",13910.35,439590,0.0043,20.4275,0.0177,5.935,3e-04,73.545,-0.0021,47.72,0.008,5426.77,3077.24,2386.77,4397.27,38.31,2.61028452101279,0,1,0,0
"20",13815.15,403630,0.009,19.9675,0.023,5.918,-7e-04,73.558,1e-04,48.23,-0.0126,3456.27,1867.34,2714.07,4100.62,38.15,2.62123197903014,0,0,0,1
"21",13672.15,471370,0.0109,20.495,-0.0257,5.973,-0.0035,73.8,-0.0031,48.09,0.0023,5316.24,4090.55,3456.22,5354.14,37.81,2.64480296217932,0,0,0,1
"22",13473.5,458650,0.01,21.985,-0.0678,5.951,-2e-04,73.905,-0.0011,46.79,0.0234,5365.66,4829.53,4040.67,5367.59,37.4,2.67379679144385,0,0,0,1
"23",13373.65,696200,0.0103,23.19,-0.052,5.966,-0.001,73.94,-0.0024,47.93,-0.0151,6616.43,5463.43,5205.19,5866.7,37.03,2.70051309748852,0,1,0,0
"24",13741.9,687260,-0.0314,18.6225,0.2453,5.962,-3e-04,73.575,0.0062,48.54,-0.0277,6595.73,6919.28,5948.66,5462.54,36.65,2.72851296043656,1,0,0,0
"25",13764.4,519390,0.0014,19.1575,-0.0279,5.952,0.0012,73.53,7e-04,48.43,0.0153,14649.69,11928.74,4224.56,6649.17,37.84,2.64270613107822,0,1,0,0
"26",13713.55,416010,0.0042,19.2,-0.0022,5.955,0.0013,73.6,-0.0015,47.85,0.0113,8609.38,6254.13,3125.72,5620.08,37.79,2.64620269912675,0,0,0,1
"27",13663.1,462150,0.0085,19.345,-0.0075,5.948,5e-04,73.532,0.001,47.6,0.0042,8209.33,6227.56,3748.65,5467.1,37.63,2.65745415891576,0,0,0,1
"28",13547.2,497600,7e-04,19.4025,-0.003,5.926,-8e-04,73.674,-0.001,46.99,0.0134,8612.92,6128.83,3564.69,6231.48,37.31,2.68024658268561,0,0,0,1
"29",13571.45,558390,0.0033,18.79,0.0326,5.97,-0.0017,73.738,-0.0014,46.73,0.009,7589.88,5325.5,3813.97,5535.08,37.28,2.68240343347639,0,0,0,1
"30",13512.3,787710,0.0026,18.7125,0.0041,5.943,0.0068,73.73,-1e-04,46.97,-0.0045,10402.09,6206.66,3726.16,6085.16,37.16,2.69106566200215,0,1,0,0
"31",13488.5,553400,-0.0038,18.92,-0.011,5.913,-2e-04,73.73,3e-04,45.69,0.0277,7663.53,5403.55,3390.71,5665.93,37.06,2.69832703723691,1,0,0,0
"32",13458.1,502610,0.0102,18.6175,0.0162,5.947,-0.0037,73.712,0,45.6,-0.0018,9574.48,6010.25,3834.91,6328.01,37.2,2.68817204301075,0,0,0,1
"33",13393.85,543170,0.0028,18.025,0.0329,5.932,0.0025,73.81,-0.0014,45.66,-0.0035,8473.34,5563.74,3912.38,6553.31,36.83,2.71517784414879,0,0,0,1
"34",13264.85,591720,0.0073,18.0275,-1e-04,5.908,0.0046,73.805,9e-04,46.15,-0.0108,8796.14,5004.08,4287.14,7054.23,36.73,2.72257010618023,0,0,0,1
"35",13177.4,640510,0.0095,19,-0.0512,5.933,-0.0059,73.865,-0.0014,45.64,0.0136,9863.79,6894.2,4062.46,6034.06,36.46,2.74273176083379,0,0,0,1
"36",13215.3,713690,0.0015,19.9075,-0.0456,5.933,0.002,73.695,0.0014,44.99,0.008,14473.15,10835.73,4693.02,6132.76,36.12,2.76854928017719,0,1,0,0
"37",13121.4,717710,4e-04,20.1825,-0.0136,5.951,-0.0017,73.5,0.0038,44.38,0.0164,9295.46,8938.11,3377.19,5013.16,36.06,2.77315585135885,0,0,0,1
"38",13062.2,583630,0.0108,19.8175,0.0184,5.919,0.0032,74.025,-0.0069,45.08,-0.0174,11337.25,8095.25,3644.5,4687.71,36.05,2.77392510402219,0,0,0,1
"39",13012.05,1160000,-0.0014,20.0225,-0.0102,5.888,0.0066,73.837,0.0014,45.9,0.0122,74741.85,67028.87,4875.77,9844.67,35.66,2.80426247896803,1,0,0,0
"40",12906.45,549800,0.01,23.1275,-0.1343,5.895,-0.0022,73.792,9e-04,45.77,-0.016,8036.86,6009.55,3016.07,6416.17,35.71,2.80033604032484,0,0,0,1
"41",13130,679010,-0.0151,21.0575,0.0983,5.902,9e-04,73.97,-0.0042,44.82,0.0178,6931.7,6907.5,3724.49,5564.82,35.36,2.82805429864253,1,0,0,0
"42",13002.6,571870,0.01,20.7975,0.0125,5.913,-0.0034,74.244,-0.0023,42.84,0.043,12480.89,7917.71,3954.39,6476.5,35.9,2.78551532033426,0,0,0,1
"43",12960.3,633120,0.0052,19.6175,0.0602,5.883,0.0039,74.12,0.0019,42.46,0.0216,12442.96,7704.52,3909.28,6853.33,35.55,2.81293952180028,0,0,0,1
"44",12813.4,664000,0.0068,19.57,0.0024,5.877,2e-04,74.165,1e-04,41.7,0.0098,11000.78,7140,2975.8,5844.46,35.36,2.82805429864253,0,0,0,1
"45",12839.5,768750,-0.0129,19.12,0.0235,5.891,-3e-04,74.313,-1e-04,41.61,-0.0019,10852.05,9671.44,3162.07,6017.01,35.12,2.84738041002278,1,0,0,0
"46",12860.1,731320,0.005,19.8025,-0.0345,5.877,2e-04,74.475,-0.0048,41.35,0.0094,10146.94,7075.01,3672.2,6462.05,35.59,2.80977802753582,0,1,0,0
"47",12932.5,707680,0.0121,19.13,0.0051,5.888,-2e-04,74.345,0.0013,41.44,0.0022,14689.87,9784.52,3076.21,6905.37,34.93,2.86286859433152,0,1,0,0
"48",12659.7,513950,0.0023,20.62,-0.0445,5.915,-0.0042,74.662,-0.0016,40.94,-0.0241,9389.23,7453.31,2265.3,4727.72,34.57,2.89268151576511,0,0,0,1
"49",12702.15,622020,-0.0046,22.0325,-0.0641,5.923,0,74.438,0.0032,41.47,-0.008,10143.06,8628.94,3810.02,6049.45,34.48,2.90023201856149,0,0,1,0
"50",12680.6,880480,0.0093,21.5775,0.0211,5.936,-0.0022,74.17,0.0021,41.79,0.0022,14549.31,8342.12,4578.17,8042.03,34.5,2.89855072463768,0,1,0,0
"51",12556.4,847450,0.0136,20.1125,0.0728,5.908,0.0068,73.955,0.0034,39.91,0.0266,14188.59,8561.27,6626.38,8935.57,34.18,2.92568753657109,0,1,0,0
"52",12399.4,553450,0.0161,20.4975,-0.0188,5.883,9e-04,73.976,8e-04,37.34,0.0848,9163.22,4614.83,3030.65,6066.96,33.62,2.97441998810232,0,0,0,1
"53",12156.65,576840,0.0118,20.965,-0.0223,5.846,0.0019,74.03,9e-04,38.54,-0.0425,9450.25,4580.38,2950.98,5889.64,33.09,3.02206104563312,0,0,0,1
"54",12062.4,632460,0.0178,23.2,-0.0963,5.883,-0.0044,74.317,-0.0061,39.17,-0.0092,9962.68,4594.37,3588.71,5796.89,32.84,3.04506699147381,0,0,0,1
"55",11783.35,667290,0.008,24.24,-0.0429,5.896,-0.002,74.598,-0.0033,38.15,0.0396,6302.82,6156.6,4428.91,4437.04,32.27,3.09885342423303,0,1,0,0
"56",11734.45,674300,0.0124,25.21,-0.0385,5.888,0.0014,74.422,0.0015,37.03,0.0231,8481.57,6207.17,4316.48,5417.4,31.82,3.14267756128221,0,1,0,0
"57",11697.35,568430,0.0023,24.7525,0.0185,5.89,0.0015,74.567,-7e-04,35.24,0.0285,6824.79,6084.18,3816.19,4350.16,31.43,3.18167356029271,0,1,0,0
"58",11678.45,553670,-0.0024,24.0225,0.0304,5.882,0.00265,74.32,0.0025,36.07,-0.0105,6329.42,7200.3,2694.06,2062.95,31.9,3.13479623824451,0,0,1,0
"59",11633.3,554960,-0.005,23.28,0.0319,5.874,0.0038,74.23,0.0026,37.39,-0.0326,5606.53,6027.48,3325.98,3579.39,31.56,3.16856780735108,0,0,1,0
"60",11922.6,704020,-0.0134,22.195,0.0489,5.849,0.0022,73.729,0.0076,38.97,-0.0551,7833.41,8964.39,3843.24,3841.76,33.94,2.94637595757219,1,0,0,0
"61",11807.1,616320,0.0103,22.8325,-0.0279,5.849,0.0021,73.938,-0.0046,38.59,0.0262,11020.94,7506.05,4310.08,5880.88,34.49,2.89939112786315,0,1,0,0
"62",11937.4,519820,-0.0136,21.8275,0.046,5.822,-0.0017,73.842,0.0018,39.69,-0.0324,5323.21,5442.63,3112.15,4091.31,33.95,2.94550810014728,0,0,1,0
"63",11957.9,502340,0.0028,22.635,-0.0357,5.898,-0.012,73.645,0.0023,40.61,-0.0194,6024.92,5117.99,3705.8,4597.66,34.37,2.90951411114344,0,0,0,1
"64",11892.1,544800,-0.0035,22.915,-0.0122,5.913,5e-04,73.68,0.001,40.04,0.0152,8325.73,7207.27,3207.37,5227.24,34.27,2.91800408520572,1,0,0,0
"65",11958.55,623660,0.0034,22.69,0.0099,5.947,-0.0032,73.44,0.002,41.22,-0.0345,8448.11,6339.63,3951.48,5585.01,34.4,2.90697674418605,0,1,0,0
"66",11861,453560,0.002,21.8175,0.04,5.95,-0.0015,73.342,0.0012,40.65,0.0154,6335.73,4750.66,2928.16,4561.39,34.28,2.9171528588098,0,0,0,1
"67",11879.2,541420,0.0094,21.645,0.008,5.932,8e-04,73.444,-0.0013,40.69,-0.0012,5994.22,4337.44,3278.52,4900.25,34.43,2.90444379901249,0,0,0,1
"68",11727.4,555770,0.007,22.0575,-0.0187,5.944,0.0063,73.407,3e-04,40.88,-0.002,4605.47,5085.06,2545.89,2975.7,34.13,2.92997363023733,0,0,0,1
"69",12023.45,608870,-0.0243,20.21,0.0914,5.911,-3e-04,73.295,0.0025,41.13,-0.0019,6544.15,7148.22,3251.11,4059.4,34.03,2.9385836027035,1,0,0,0
"70",11917.4,569250,0.0031,20.715,-0.0244,5.918,-7e-04,73.395,-0.0022,40.19,0.0209,7151.46,6329.6,2962.67,4238.81,34.87,2.86779466590192,0,1,0,0
"71",11934.65,458310,3e-04,21.1275,-0.0195,5.925,8e-04,73.351,5e-04,39.53,0.0195,5797.32,4965.18,3029.17,4703.63,34.77,2.87604256542997,0,0,0,1
"72",11973.55,522630,0.0014,20.38,0.0367,5.945,-0.0064,73.015,0.0048,40.4,-0.0288,6100.23,5485.06,1960.27,2989.04,34.76,2.87686996547756,0,0,0,1
"73",11852.05,611080,0.0067,20.38,0,6.042,-0.013,73.15,-0.0038,41.31,-0.0143,6284.33,6323.72,4154.21,4027.6,34.71,2.88101411696917,0,1,0,0
"74",11835.4,608770,0.0082,20.06,0.016,6.025,2e-04,73.33,-5e-04,39.99,0.031,6586.24,5607.87,4992.59,4972.74,34.4,2.90697674418605,0,1,0,0
"75",11679.25,513370,0.0066,19.635,0.0216,6.032,-0.002,73.55,-0.0014,39.83,-0.0177,6044.21,4950.4,2970.15,4099.64,34.12,2.93083235638921,0,0,0,1
"76",11603.45,561450,0.0138,19.705,-0.0036,6.026,0.0037,73.093,0.0044,39.35,0.037,6072.97,4971.21,3076.87,4011.71,33.9,2.94985250737463,0,1,0,0
"77",11487.8,530600,0.0076,18.35,0.0738,6.018,0.0013,73.295,-0.0025,37,0.0586,5685.56,5448.85,2779.65,3251.21,33.43,2.99132515704457,0,1,0,0
"78",11364.45,447740,0.0151,19.53,-0.0604,5.965,-0.0032,73.595,-0.005,39.9,-0.0373,4708.03,3075.78,3277.14,3017.68,33.18,3.01386377335744,0,0,0,1
"79",11244.45,499340,0.0022,19.775,-0.0124,6.057,-0.0036,73.817,-0.0026,39.16,0.0237,5725.27,6437.75,3010.51,2601.04,32.69,3.05903946160905,0,1,0,0
"80",11288.6,498300,-5e-04,19.5725,0.0103,6.069,-0.0031,73.785,0,40.58,-0.0323,4346.69,5803.35,3244.85,2668.35,32.62,3.06560392397302,0,0,1,0
"81",11140.85,472780,0.016,20.675,-0.0533,6.068,0.003,73.685,0.0011,40.07,0.0087,4414.51,4441.49,3041.27,2498.93,32.63,3.06466441924609,0,0,0,1
"82",10910.4,559600,0.0226,23.51,-0.1206,6.041,0.0077,73.735,-0.0031,40.15,-0.0015,4383.11,6463.32,4210.84,2140.21,32.12,3.11332503113325,0,0,0,1
"83",11011,706140,-0.0293,20.99,0.1201,6.027,3e-04,73.835,0.0045,39.6,0.0095,6301.62,8187.31,7839.03,7650.39,30.97,3.22893122376493,1,0,0,0
"84",11258.75,714930,-0.002,21.41,-0.0196,5.996,-0.0033,73.503,8e-04,39.76,0.0083,4190.07,8102.51,5186.24,3557.01,31.91,3.13381385145722,1,0,0,0
"85",11301.75,672250,-0.0086,22.1875,-0.035,6.027,-0.001,73.575,-8e-04,39.63,0.0074,3805.95,5878.71,4963.84,4084.93,31.97,3.12793243665937,0,0,1,0
"86",11503.8,602850,-0.0221,20.045,0.1069,6.027,3e-04,73.535,4e-04,40.98,-0.0438,5230.5,5770.31,4333.23,4851.18,32.25,3.10077519379845,0,0,1,0
"87",11584.1,764150,-0.001,20.1,-0.0027,6.028,-0.0031,73.475,-8e-04,40.97,0.0034,19932.3,19727.15,6248.89,6349.72,32.98,3.03214069132808,1,0,0,0
