Chg,VIXPrice,VIXOpen,VIXHigh,VIXLow,VIXChg,GSECPrice,GSECOpen,GSECHigh,GSECLow,GSECChg,FXPrice,FXOpen,FXHigh,FXLow,FXChg,OilPrice,OilOpen,OilHigh,OilLow,OilChg,FII_BUY,FII_SELL,DII_BUY,DII_SELL,Nifty_PE
-0.0037,22.4225,22.18,23.04,18.73,0.0109,5.939,5.97,5.973,5.936,-0.0029,72.98,72.965,73.111,72.92,3.00E-04,52.27,53.1,53.16,51.44,-0.0162,8326.77,8962.46,4859.95,6150.3,38.86
0.0085,22.18,21.55,22.7775,18.6175,0.0292,5.956,5.942,5.958,5.931,0.0024,72.96,72.916,73.061,72.894,7.00E-04,53.13,52.93,53.41,52.75,-0.0021,9104.25,7489.59,5053.57,6093.05,39.41
0.0168,21.55,22.8975,23.185,19.33,-0.0588,5.942,5.942,5.945,5.931,0.001,72.91,73.192,73.205,72.896,-0.0038,53.24,53.13,53.79,53.05,0.0049,7701.29,5412.24,5084.73,5949.35,39.55
-0.0106,22.8975,24.395,24.395,20.36,-0.0614,5.936,5.963,5.963,5.933,-0.0035,73.19,73.177,73.311,73.113,1.00E-04,52.98,52,53.13,51.76,0.0118,6715.91,6458.36,5146.41,5345.71,39.22
-0.0111,24.395,24.01,25.4125,23.5675,0.016,5.957,5.965,5.986,5.953,-0.0052,73.181,73.15,73.333,73.136,8.00E-04,52.36,52.2,52.61,51.83,0.0031,7847.77,7197.17,6371.06,6413.57,38.92
0.0021,24.01,23.0275,24.6775,23.0275,0.0427,5.988,5.959,5.988,5.942,0.0108,73.12,73.089,73.211,72.99,7.00E-04,52.36,53.8,53.83,51.83,-0.0226,7240.81,6269.75,4914.07,5856.14,39.34
1.00E-04,23.0275,23.2925,23.7025,22.8075,-0.0114,5.924,5.955,5.955,5.924,-0.0039,73.07,73.135,73.239,72.923,-0.0012,53.57,52.84,53.75,52.24,0.0125,10175.47,9098.85,5772.8,5960.9,40.03
0.0054,23.2925,22.8475,24.0475,22.37,0.0195,5.947,5.913,5.955,5.908,0.0027,73.16,73.19,73.238,73.061,-8.00E-04,52.91,53.31,53.93,52.58,-0.0056,10263.57,8384.51,5777.2,8147.37,39.94
0.0096,22.8475,22.3825,23.26,22.2925,0.0208,5.931,5.937,5.937,5.919,0.0012,73.22,73.494,73.494,73.2,-0.0032,53.21,52.18,53.45,52.07,0.0184,9354.82,8783.35,5556.61,6891.11,39.94
0.0148,22.3825,20.64,22.745,20.64,0.0844,5.924,5.946,5.946,5.917,0.0054,73.455,73.45,73.6,73.357,0.0017,52.25,52.58,52.7,51.5,2.00E-04,9652.29,6513.39,4496.85,7106.98,39.72
