NFOpen,NFChg,FXOpen,FXChg,OilOpen,OilChg,GsecOpen,GsecChange,GoldOpen,GoldChg,VIXOpen,VIXChg,FII_BUY,FII_SELL,DII_BUY,DII_SELL
13996.1,-0.0248,73.1,-0.0022,48.4,0.0758,5.91,0.0093,1912.5,-0.026,21.1,0.2014,168241.42,159260.61,105747.49,117718.03
13062.2,0.0781,74.03,-0.0129,45.08,0.0701,5.92,-0.0029,1784.1,0.0643,19.82,0.0645,182528.47,134304.53,84739.8,122033.33
11697.4,0.1139,74.57,-0.0076,35.24,0.2668,5.89,0.0051,1891.3,-0.0569,24.75,-0.1994,259779.42,194462.29,71778.07,120097.24
11364.5,0.0351,73.6,0.0135,39.9,-0.1101,5.97,-0.0223,1911.6,-0.0081,19.53,0.2674,136822.19,122284.79,69356.56,86675
11464.3,-0.0123,73.22,0.0042,42.83,-0.0561,5.95,-0.0104,2001,-0.042,22.84,-0.1447,127201.38,138612.07,91029.48,90919.18
11057.6,0.0284,74.92,-0.0222,40.39,0.0581,5.85,0.0413,2019.6,-0.0066,24.19,-0.0561,131434.85,115684.99,77599.64,88646.42
10323.8,0.0749,75.53,-0.0083,39.84,0.0255,5.91,-0.0087,1829.3,0.0951,29.12,-0.1691,113501.55,111011.36,89373.83,99381.71
9726.9,0.0753,75.47,-0.0007,35.21,0.1065,6.06,-0.0208,1775.5,0.0332,30.22,-0.0365,155215.8,149722.85,100174.07,97739.67
9533.5,-0.0284,75.32,0.0068,19.04,0.8838,6.14,-0.0159,1730,0.0375,33.99,-0.1108,155977.41,142062.92,87531.66,75238.47
8584.1,0.1468,75.32,-0.0034,20.1,-0.0801,6.29,-0.0046,1594.4,0.0676,64.41,-0.4723,122483.01,127691.51,75066.03,75183.03
11387.4,-0.2325,72.53,0.0386,43.7,-0.5424,6.34,-0.0366,1602.5,0.0062,23.24,1.772,154904.51,220721.21,157856.93,102261.75
11939.0,-0.0636,71.53,0.0139,51.01,-0.1319,6.51,-0.0346,1606,-0.0175,17.37,0.3378,114891.25,127575.55,93843.52,76910.49
12202.2,-0.017,71.37,0.0027,61.6,-0.1556,6.55,0.0069,1591,0.0375,11.67,0.4885,107812.65,113172.16,91361.34,90287.85
12137.1,0.0093,71.79,-0.0055,55.47,0.1068,6.46,0.0146,1515.9,0.0369,13.9,-0.1605,99178.1,98483.98,65743.09,66483.85
